#x-offset = 20 m
#z-offset = -2 m


STATION 0 0 0 12 4

AIRFOIL
 1	-0.000576
0.975	0.005328
0.95	0.010368
0.925	0.014688
0.9	0.01836
0.875	0.0216
0.85	0.024264
0.825	0.02664
0.8	0.028656
0.775	0.030384
0.75	0.031824
0.725	0.03312
0.7	0.034272
0.675	0.035208
0.65	0.036072
0.625	0.036792
0.6	0.037368
0.575	0.037944
0.55	0.038376
0.5	0.039096
0.45	0.039456
0.4	0.0396
0.35	0.039384
0.3	0.03888
0.25	0.038016
0.2	0.036504
0.175	0.035496
0.15	0.034272
0.125	0.03276
0.1	0.030816
0.075	0.028368
0.05	0.024984
0.0375	0.022752
0.025	0.019872
0.0125	0.01548
0.0075	0.012672
0	0
0.0075	-0.012672
0.0125	-0.015552
0.025	-0.020232
0.0375	-0.023328
0.05	-0.025776
0.075	-0.029376
0.1	-0.031968
0.125	-0.033984
0.15	-0.035496
0.175	-0.03672
0.2	-0.037584
0.25	-0.03888
0.3	-0.039456
0.35	-0.039528
0.4	-0.038952
0.45	-0.037728
0.5	-0.035784
0.55	-0.03276
0.575	-0.030672
0.6	-0.028008
0.625	-0.024624
0.65	-0.020304
0.675	-0.01548
0.7	-0.010728
0.725	-0.00648
0.75	-0.002592
0.775	0.000864
0.8	0.003816
0.825	0.006336
0.85	0.008208
0.875	0.009504
0.9	0.009936
0.925	0.009432
0.95	0.007632
0.975	0.00432
1	-0.000936
1	-0.000576


STATION 6.0 10.0 2.0 6 0

AIRFOIL
 1	-0.000576
0.975	0.005328
0.95	0.010368
0.925	0.014688
0.9	0.01836
0.875	0.0216
0.85	0.024264
0.825	0.02664
0.8	0.028656
0.775	0.030384
0.75	0.031824
0.725	0.03312
0.7	0.034272
0.675	0.035208
0.65	0.036072
0.625	0.036792
0.6	0.037368
0.575	0.037944
0.55	0.038376
0.5	0.039096
0.45	0.039456
0.4	0.0396
0.35	0.039384
0.3	0.03888
0.25	0.038016
0.2	0.036504
0.175	0.035496
0.15	0.034272
0.125	0.03276
0.1	0.030816
0.075	0.028368
0.05	0.024984
0.0375	0.022752
0.025	0.019872
0.0125	0.01548
0.0075	0.012672
0	0
0.0075	-0.012672
0.0125	-0.015552
0.025	-0.020232
0.0375	-0.023328
0.05	-0.025776
0.075	-0.029376
0.1	-0.031968
0.125	-0.033984
0.15	-0.035496
0.175	-0.03672
0.2	-0.037584
0.25	-0.03888
0.3	-0.039456
0.35	-0.039528
0.4	-0.038952
0.45	-0.037728
0.5	-0.035784
0.55	-0.03276
0.575	-0.030672
0.6	-0.028008
0.625	-0.024624
0.65	-0.020304
0.675	-0.01548
0.7	-0.010728
0.725	-0.00648
0.75	-0.002592
0.775	0.000864
0.8	0.003816
0.825	0.006336
0.85	0.008208
0.875	0.009504
0.9	0.009936
0.925	0.009432
0.95	0.007632
0.975	0.00432
1	-0.000936
1	-0.000576


STATION 18 30 6 2 -1.0

AIRFOIL
 1	-0.000576
0.975	0.005328
0.95	0.010368
0.925	0.014688
0.9	0.01836
0.875	0.0216
0.85	0.024264
0.825	0.02664
0.8	0.028656
0.775	0.030384
0.75	0.031824
0.725	0.03312
0.7	0.034272
0.675	0.035208
0.65	0.036072
0.625	0.036792
0.6	0.037368
0.575	0.037944
0.55	0.038376
0.5	0.039096
0.45	0.039456
0.4	0.0396
0.35	0.039384
0.3	0.03888
0.25	0.038016
0.2	0.036504
0.175	0.035496
0.15	0.034272
0.125	0.03276
0.1	0.030816
0.075	0.028368
0.05	0.024984
0.0375	0.022752
0.025	0.019872
0.0125	0.01548
0.0075	0.012672
0	0
0.0075	-0.012672
0.0125	-0.015552
0.025	-0.020232
0.0375	-0.023328
0.05	-0.025776
0.075	-0.029376
0.1	-0.031968
0.125	-0.033984
0.15	-0.035496
0.175	-0.03672
0.2	-0.037584
0.25	-0.03888
0.3	-0.039456
0.35	-0.039528
0.4	-0.038952
0.45	-0.037728
0.5	-0.035784
0.55	-0.03276
0.575	-0.030672
0.6	-0.028008
0.625	-0.024624
0.65	-0.020304
0.675	-0.01548
0.7	-0.010728
0.725	-0.00648
0.75	-0.002592
0.775	0.000864
0.8	0.003816
0.825	0.006336
0.85	0.008208
0.875	0.009504
0.9	0.009936
0.925	0.009432
0.95	0.007632
0.975	0.00432
1	-0.000936
1	-0.000576
